,status,Requirement,Discord username,Category,Why ?
1,,Support different ESP modules,wassfila,uC,"ESP32 WROOM, WROVER, S2 "
2,,power cut-off circuit + RTC Timer,Informatic0re,power,Cutting off the power lowers the current draw to <1mA
3,rejected,Actionable documentation,LEMD49,organisation,"Containing: principles & block diagram, wiring diagram, BOM w all components and mechanical parts / connectors, Normal operations levels (can be notes on cct diagram), troubleshooting flow...."
4,,3v3 Output,Andreas Spiess,power,Power supply for MCU
5,,5V Output,Andreas Spiess,feature,Usefull for sensors which need 5V but should have a on/off 
6,,USB charging,Andreas Spiess,charging,
7,,Solar charging,Andreas Spiess,charging,Power for the system when it is installed in locations where USB is not available and where swapping the battery every year or so is not desired
8,,Charging while powering,Andreas Spiess,charging,
9,,Replacable batteries,Andreas Spiess,battery,
11,,Low voltage signal/alarm/interrupt,Andreas Spiess,power,
12,,Battery low voltage protection,Andreas Spiess,battery,
13,,Over charge and discharge protection,Andreas Spiess,battery,
14,,charge indicator,Andreas Spiess,charging,
15,rejected,"Maximum Battery life ( e.g. sensor mode current < 50uA, life 1 year)",wassfila,feature,"Define the maximum achievable savings by the modular design, (e.g. short wake up, send ESP-NOW packet and back to sleep). I set 50 uA arbitrarily as suggested by tealbrains an anyone please feel free to vote or update"
16,rejected,"Minimum Battery life (e.g. performance mode current <200uA, life 3 Months)",wassfila,feature,"Set a target for the least achievable performance of the modular design, e.g. when deprived from all external optional components. e.g. no external RTC."
17,rejected,Specify a maximum quiescent current,tealbrains,organisation,"(Instead of 15. and 16.) Lifespan of device will be application dependent. The property of this circuit must be independent. For example, fix quiescent current to be < 50uA. "
18,rejected,ESD security,RV3Dtech,safety,
19,rejected,I2C Interface & Arduino Library,RV3Dtech,feature,
20,rejected,Security of supply of the components + 5y,RV3Dtech,organisation,
21,rejected,Breadboard friendy design,Informaticore,feature,you know why
22,rejected,Multi-chemistry,tealbrains,,"Some users may use Li-Ion, others may use LiFePO4. NiMH is broadly available"
23,rejected,Temperature (over and under) protection,Thomas,safety,"Safety (can't charge battery at any temperature, there is a risk of damage), can be part of the charger IC"
24,rejected,Battery heater,Thomas,feature,If used in cold areas there might be many weeks/months of continious battery temp too low for charging.
25,,Charger control (enable/disable),tealbrains,charging,"Reduce the number of charging cycles (specially for solar applications, where we may not want to charge the battery constantly) in order to increase lifespan of battery. AND allow to measure the battery voltage accurately"
26,,"Li-Ion Chemistry as 18650, 16340 and FlatPack",tealbrains,battery,Some users may use Li-Ion 18650 and 16340 or Flat Pack
27,rejected,LiFePO4 Chemistry,tealbrains,battery,Some users may use LiFePO4. The chemisty is better for cold climates.
28,,Hysterisis between battery low and battery ready.,metimmee,feature,"Solar devices in winter may bump along at minimum voltage for extended periods.  For some applications, it may be better for the micro to go to sleep for an extended period to allow the battery to charge more than the minimum amount."
